Week,Date,PAYM,Press.Direct,Press.Brand,OOH Spend,Radio,TV,Display.Direct,Display.Brand,FTSE ,Libor,Consumer_Conf,InfRate,VF.Share,Con.VF.Yes,Con.VF.No,BAS.VF,VF.Emotion,VF.Perf.Support,i.Phone,NS.Winter,NS.Spring,NS.Summer,Vodafone_A,Vodafone_B,Vodafone_C,Vodafone_D,O2_A_diff,O2_B_diff,O2_D_diff,Orange_B_diff,Orange_D_diff,T-Mobile_B_diff
33,8/15/2011,59424,199110.18,46525,23450,30234.9,376449.71,308073.81,107733.9284,5234.56,0.777,-31,0.6,0.182608696,88.5,13.6,98.70967742,36.62350082,2.417999983,0,0,0,1,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,15.5,-0.5
34,8/22/2011,56621,120574.27,31359,23450,11232.57,132890.38,237857.96,107733.9284,5138.32,0.777,-31,0.6,0.182608696,72,25,94,36.62350082,2.417999983,0,0,0,1,11.75,24.13,40.78,59.5,0.25,-0.55,0.36,-0.52,15.5,-0.5
35,8/29/2011,57490,227666.77,51319,23450,4286.07,35466.65,178859.64,107733.9284,5343.45,0.801,-30.5714286,0.6,0.182755904,90.5,18.1,97.43589744,35.88477162,2.285571405,0,0,0,1,11.75,24.13,40.78,59.5,0.25,-0.55,0.36,-0.52,15.5,-0.5
36,9/5/2011,59983,81964.82,88933,23450,17146.16,35466.65,231775.34,107733.9284,5226.6,0.833,-30,0.6,0.182952183,69.6,23.7,95.12195122,34.89979935,2.108999968,0,0,0,1,11.75,24.13,40.68,59.5,0.25,-0.55,0.36,-0.52,15.5,0.01
37,9/12/2011,60089,200833.31,131752,414143.33,73258.66,35466.65,115031.89,107733.9284,5247.36,0.833,-30,0.6,0.182952183,76.2,21.5,95,34.89979935,2.108999968,0,0,0,1,11.75,24.13,40.6,59.5,0.25,-0.55,0.36,-0.52,15.5,0.01
38,9/19/2011,55258,130178.68,101403,390693.33,73258.66,118661.58,175392.37,107733.9284,5204.02,0.833,-30,0.6,0.182952183,85,22.1,94.54545455,34.89979935,2.108999968,0,0,0,1,11.75,24.13,40.6,59.5,0.25,-0.55,0.36,-0.52,15.5,0.01
39,9/26/2011,59776,210940.12,115984,442693.33,106692.3,326648.93,181972.82,107733.9284,5185.26,0.8438571,-30.2857143,0.5285714,0.184016157,46.7,18.4,92.30769231,35.05291367,2.315199988,1,0,0,0,11.75,24.13,40.6,59.5,0.25,-0.55,0.36,-0.52,15.5,-0.5
40,10/3/2011,63749,126535.08,32513,110000,106692.3,326648.93,277851.86,107733.9284,5143.36,0.909,-32,0.1,0.1904,77.3,23.5,93.61702128,35.97159958,3.552400112,1,0,0,0,11.75,24.13,40.6,59.5,0.25,-0.55,0.36,-0.52,15.5,-0.5
41,10/10/2011,89819,177543.88,56616,72700,15146.16,326648.93,241538.4,107733.9284,5421.26,0.909,-32,0.1,0.1904,76,23.5,97.7443609,35.97159958,3.552400112,1,0,0,0,11.75,24.13,40.6,59.5,0.25,-0.55,0.36,-1.76,1.5,0.01
42,10/17/2011,80393,101676.74,91058,20700,15146.16,326648.93,244184.22,107733.9284,5434.18,0.909,-32,0.1,0.1904,73.1,20.6,94.83870968,35.97159958,3.552400112,1,0,0,0,11.75,24.13,40.6,59.5,0.25,-0.55,0.36,-1.37,1.5,0.01
43,10/24/2011,69079,172979.32,57615,20700,15146.16,277686.61,224295,107733.9284,5608.56,0.909,-32,0.1,0.1904,79.3,19.3,92.99363057,35.97159958,3.552400112,1,0,0,0,11.75,24.13,40.6,59.5,0.25,-0.55,0.36,-1.37,1.5,0.01
44,10/31/2011,71515,93513.92,54991,20700,15146.16,277686.61,241199.29,107733.9284,5504.54,0.974,-31.2857143,0.1714286,0.182147253,89.5,26.3,95.51282051,36.98081316,3.970614229,1,0,0,0,11.75,24.13,40.6,59.5,0.25,-0.55,0.36,-1.37,1.5,0.01
45,11/7/2011,68173,379104.68,80364,441366.67,15146.16,277686.61,201217.57,0,5505.74,1,-31,0.2,0.178846154,86.4,11.3,97.05882353,37.3844986,4.137899876,1,0,0,0,12.17,24.13,40.45,59.5,-0.17,-0.55,0.36,-1.76,1.5,-0.73
46,11/14/2011,67865,223783.74,81267,420666.67,15146.16,277686.61,193564.31,0,5466.28,1,-31,0.2,0.178846154,81.6,17.7,96.25,37.3844986,4.137899876,1,0,0,0,12.17,24.13,40.45,59.5,-0.17,-0.55,0.36,-1.76,1.5,-0.73
47,11/21/2011,74233,386073.34,32704,999020.47,71179.96,284732.29,178219.7,0,5172.28,1,-31,0.2,0.178846154,85.7,19,94.44444444,37.3844986,4.137899876,1,0,0,0,12.17,24.13,40.45,59.5,-0.17,-0.55,0.36,-1.76,1.5,-0.73
48,11/28/2011,76748,210969.88,11699,578353.81,91318.78,290016.56,183995.3,40794,5439.36,1.0428571,-31.8571429,0.2857143,0.173129652,85.7,19.8,94.54545455,36.94907052,3.995742798,1,0,0,0,12.17,24.13,40.45,59.5,-0.17,-0.55,0.36,-1.76,1.5,-0.73
49,12/5/2011,76923,187593.18,93998,584019.35,184249.63,290016.56,136451.55,36996.78,5539.32,1.1,-33,0.4,0.16550765,59.1,20,98.37398374,36.36849976,3.806200027,1,0,0,0,12.17,24.13,40.45,59.5,-0.17,-0.55,0.36,-1.76,1.5,-0.73
50,12/12/2011,80145,225736.12,42700,175566.02,30094.32,290016.56,189420.78,6774.59,5414.6,1.1,-33,0.4,0.16550765,87.5,18.4,98.4375,36.36849976,3.806200027,1,0,0,0,11.75,23.59,40.45,59.5,0.25,-0.01,0.36,-0.72,1.5,-0.19
51,12/19/2011,76994,335832.36,93052,525086.65,30094.32,295983.82,244821.73,6774.59,5428.8,1.1,-33,0.4,0.16550765,84.6,23.7,97.11538462,36.36849976,3.806200027,1,0,0,0,11.75,23.59,40.45,59.5,0.25,-0.01,0.36,-1.09,1.5,-0.19
52,12/26/2011,50708,4990,5806,349520.63,30094.32,310901.96,224183.46,6774.59,5548.833333,1.1,-33,0.4,0.16550765,72.4,21.9,92.64705882,36.36849976,3.806200027,1,1,0,0,11.75,23.59,40.45,59.5,0.25,-0.01,0.36,-1.09,1.5,-0.19
53,1/2/2012,51922,0,0,349520.63,30094.32,310901.96,128729.62,6774.59,5660.6,1.115,-29,-0.5,0.150779896,76.5,22.4,98.55072464,35.21649933,2.577300072,0,1,0,0,11.75,23.59,40.45,59.5,0.25,-0.01,0.36,-1.09,1.5,-0.19
54,1/9/2012,53239,167643.2,0,114299.09,30094.32,310901.96,67148.54,6774.59,5655.76,1.115,-29,-0.5,0.150779896,87.1,26.9,96.47577093,35.21649933,2.577300072,0,1,0,0,11.75,23.59,40.45,59.5,0.25,-0.16,0.36,-1.09,1.5,-0.19
55,1/16/2012,52382,106745.22,0,44693.25,30094.32,310901.96,237923.65,0,5704.68,1.115,-29,-0.5,0.150779896,82.6,15.7,96.1038961,35.21649933,2.577300072,0,1,0,0,11.75,23.59,40.45,59.5,0.25,-0.16,0.36,-1.09,1.5,-0.19
56,1/23/2012,51928,100092.33,28135,44693.25,30094.32,522455.07,191344.4,0,5757.24,1.115,-29,-0.5,0.150779896,85.2,20,98,35.21649933,2.577300072,0,1,0,0,11.75,23.59,40.45,59.5,0.25,-0.16,0.36,-1.09,1.5,-0.19
57,1/30/2012,54032,102628.93,45126,630834.92,30094.32,557713.92,156792.8,0,5768.12,1.0898571,-29,0.1285714,0.149907802,83.3,24.8,92.92035398,34.8910141,2.802842821,0,1,0,0,11.75,23.59,40.45,59.5,0.25,-0.16,0.36,-0.72,1.5,-0.13
58,2/6/2012,48823,133471.93,49563,630834.92,30094.32,557713.92,89239.23,0,5881.26,1.071,-29,0.6,0.149253731,84,16.5,96.25668449,34.64690018,2.971999884,0,1,0,0,11.75,23.29,40.45,59.5,0.25,0.29,0.36,-0.79,1.5,0.14
59,2/13/2012,49846,22195,44715,731978.03,66548.1,557713.92,156295.36,0,5897.66,1.071,-29,0.6,0.149253731,96.3,17.7,93.33333333,34.64690018,2.971999884,0,1,0,0,11.75,22.78,40.64,59.5,0.25,0.81,0.36,-0.28,1.5,0.65
60,2/20/2012,48352,156052.9,0,731978.03,66548.1,650710.42,210696.15,0,5932.6,1.071,-29,0.6,0.149253731,75.8,24.6,98,34.64690018,2.971999884,0,1,0,0,12.17,22.78,40.64,59.5,-0.17,0.81,0.36,0.09,1.5,0.68
61,2/27/2012,46552,53793.6,16345,731978.03,66548.1,774705.75,208179.09,0,5911.46,1.0448571,-29.8571429,0.4714286,0.148758512,85.7,21.4,97.4137931,35.56044388,3.178457158,0,1,0,0,12.17,22.78,40.64,59.5,-0.17,0.81,0.36,0.09,1.5,0.68
62,3/5/2012,41279,0,11655,675860.19,75949.41,774705.75,290375.9,8632.09,5835.84,1.01,-31,0.3,0.148387097,84,21.1,95.79831933,36.24560165,3.333300114,0,1,0,0,12.17,22.78,40.64,59.5,-0.17,0.81,0.36,0.09,1.5,0.68
63,3/12/2012,41862,0,25298,858990.85,91463.43,774705.75,198991.82,0,5940.08,1.01,-31,0.3,0.148387097,81.3,12.1,94.73684211,36.24560165,3.333300114,0,1,0,0,12.17,22.78,40.64,59.5,-0.17,0.81,0.36,0.09,1.5,0.68
64,3/19/2012,41291,101845,26809,183130.67,82062.12,553361.25,154847.09,0,5889,1.01,-31,0.3,0.148387097,78.6,24.4,92.42424242,36.24560165,3.333300114,0,1,0,0,12.17,22.78,40.64,59.5,-0.17,0.81,0.36,0.09,1.5,0.68
65,3/26/2012,43419,156265.6,12751,183130.67,68863.3,0,169134.81,0,5818.34,1.01,-31,0.3,0.148387097,78.9,22.3,94.16666667,36.24560165,3.333300114,0,0,1,0,12.17,22.78,40.64,59.5,-0.17,1.36,-0.5,0.09,1.5,0.49
66,4/2/2012,44584,0,8787,0,32409.51,0,145933.61,49311.3,5785.175,1.049,-31,0.6,0.156504065,70.7,13.6,95.97315436,34.30369949,3.141400099,0,0,1,0,12.17,22.78,40.64,59.5,-0.17,1.36,-0.5,0.09,1.5,0.49
67,4/9/2012,46342,155095,5130,37730.33,32409.51,0,113363.83,75352.97,5648.125,1.049,-31,0.6,0.156504065,73.9,21.8,94.70198675,34.30369949,3.141400099,0,0,1,0,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.95,1.5,-0.55
68,4/16/2012,49535,170132,5100,37730.33,32409.51,0,153099.7,137151.7,5739.04,1.049,-31,0.6,0.156504065,83.3,23.3,95.68345324,34.30369949,3.141400099,0,0,1,0,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.95,1.5,-0.55
69,4/23/2012,50881,180858,0,37730.33,32409.51,572179.67,118221.35,73043,5723.96,1.049,-31,0.6,0.156504065,69.6,20.8,95.33333333,34.30369949,3.141400099,0,0,1,0,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.95,1.5,-0.55
70,4/30/2012,50341,93597,0,4397,17461.35,667542.95,103802.37,73043,5745.94,1.0582857,-29.5714286,0.1,0.152868525,83.3,20.5,95.51282051,32.97884151,2.011685763,0,0,1,0,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.95,1.5,-0.55
71,5/7/2012,47391,102177.64,0,4397,17461.35,667542.95,144956.53,188148.4,5551,1.062,-29,-0.1,0.151414309,73.1,16.7,96.75324675,32.44889832,1.559800029,0,0,1,0,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.95,1.5,-0.55
72,5/14/2012,45623,137664.01,0,0,146717.63,667542.95,115196.53,44018.17,5382.88,1.062,-29,-0.1,0.151414309,88.9,22.2,98.64864865,32.44889832,1.559800029,0,0,1,0,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.95,1.5,-0.55
73,5/21/2012,45323,44308.37,0,0,146717.63,708703.37,123972.59,0,5335.14,1.062,-29,-0.1,0.151414309,83.3,14.6,92.70833333,32.44889832,1.559800029,0,0,1,0,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.95,1.5,-0.55
74,5/28/2012,56110,229316.52,0,0,146717.63,739573.68,144465.24,0,5325.16,1.064,-29,-0.1857143,0.150852077,79.2,16.3,97.70992366,33.08238438,1.817142878,0,0,1,0,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.44,1.5,-0.55
75,6/4/2012,51628,34659.87,0,0,146717.63,739573.68,113976.86,5767.01,5422.333333,1.069,-29,-0.4,0.149446494,88,16.3,92.08633094,34.66609955,2.460500002,0,0,1,0,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.44,1.5,-0.55
76,6/11/2012,58460,141510.6,0,0,17461.35,739573.68,122171.08,25894.81,5467.14,1.069,-29,-0.4,0.149446494,71.4,12.5,96.42857143,34.66609955,2.460500002,0,0,1,0,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
77,6/18/2012,53805,84405,32843,205901.34,17461.35,706609.46,92026.42,29131.92,5555.96,1.069,-29,-0.4,0.149446494,87,22.1,97.85714286,34.66609955,2.460500002,0,0,1,0,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
78,6/25/2012,55824,157583.64,23099,205901.34,17461.35,508824.14,103927.68,29131.92,5497.14,1.069,-29,-0.4,0.149446494,88.2,27.6,93.37016575,34.66609955,2.460500002,0,0,0,1,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
79,7/2/2012,55466,90395.79,55380,205901.34,17461.35,508824.14,214895.59,29131.92,5673.6,1.065,-29,0.1,0.151470588,75,15.6,91.27516779,36.90520096,3.398900032,0,0,0,1,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
80,7/9/2012,61879,200474.45,23529,40000,17461.35,508824.14,194877.88,29131.92,5646.06,1.065,-29,0.1,0.151470588,75.9,15.8,95.36423841,36.90520096,3.398900032,0,0,0,1,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
81,7/16/2012,59195,119104.9,8559,40000,17461.35,508824.14,171521.15,11846.22,5668.66,1.065,-29,0.1,0.151470588,75.9,24.3,90.27777778,36.90520096,3.398900032,0,0,0,1,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
82,7/23/2012,60985,104756.5,4035,41875,17461.35,226379.25,225950.71,11846.22,5546.36,1.065,-29,0.1,0.151470588,85.7,21.3,95.48387097,36.90520096,3.398900032,0,0,0,1,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
83,7/30/2012,61952,162639.7,0,0,17461.35,179305.11,215286.93,14409.55,5698.26,1.0518571,-29,0.3285714,0.148227048,85,16.5,96,35.04057258,3.1609572,0,0,0,1,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
84,8/6/2012,45572,74986.73,1980,0,15146.16,179305.11,138596.13,25796.36,5838.9,1.042,-29,0.5,0.145794393,95.2,22.5,96.18320611,33.64210129,2.982500076,0,0,0,1,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
85,8/13/2012,59198,90460.26,0,0,15146.16,179305.11,79809.45,25796.36,5843.32,1.042,-29,0.5,0.145794393,88.2,19.8,91.26984127,33.64210129,2.982500076,0,0,0,1,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
86,8/20/2012,58952,96393.55,18645,0,15146.16,158229.17,88101.29,97050.7,5801.86,1.042,-29,0.5,0.145794393,80,23.4,95.8677686,33.64210129,2.982500076,0,0,0,1,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
87,8/27/2012,56608,203003.37,27664,0,26921.55,130127.93,125379.34,89017.36,5737.55,1.036,-28.8571429,0.4857143,0.145631492,63.2,18.4,95.93495935,33.55715833,2.958142928,0,0,0,1,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
88,9/3/2012,53504,90728.4,16991,0,26921.55,130127.93,103317.3,43232.55,5732.08,1,-28,0.4,0.144654088,85.7,16.3,95.1048951,33.04750061,2.812000036,1,0,0,1,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
89,9/10/2012,67898,28305.9,3775,71926.67,204519.89,130127.93,119290.6,126232,5820.58,1,-28,0.4,0.144654088,62.5,16.8,95.54140127,33.04750061,2.812000036,1,0,0,1,11.75,23.82,40.64,59.5,-0.14,1.34,-0.5,-0.78,1.5,-0.55
90,9/17/2012,87973,49998.3,29047,71926.67,204519.89,130127.93,148046.71,123932.5,5871.48,1,-28,0.4,0.144654088,75,17.6,94.96402878,33.04750061,2.812000036,1,0,0,1,13,24,37.25,59.5,-1.39,1.16,-0.5,-0.96,1.5,-0.73
91,9/24/2012,83039,68747.7,131211,72926.67,204519.89,174227.72,167418.11,130536.8,5797.62,1,-28,0.4,0.144654088,69,15.3,93.78881988,33.04750061,2.812000036,1,0,0,0,13,24,37.25,59.5,-1.39,1.16,-0.5,-0.96,1.5,-0.73
92,10/1/2012,76246,67438.9,274657,68193.33,204519.89,174227.72,156466.17,65898.45,5830.92,0.9305714,-29.7142857,0.4857143,0.144654088,66.7,16.3,95,33.04750061,2.812000036,1,0,0,0,13,24,37.25,59.5,-1.39,1.16,-0.5,-0.96,1.5,-0.73
93,10/8/2012,67721,97690.38,264428,68193.33,204519.89,174227.72,105637.25,312374.7,5810.36,0.919,-30,0.5,0.146666667,72,24.8,98.29545455,33.12440109,1.727100015,1,0,0,0,13,24,37.25,59.5,-1.39,1.16,-0.5,-0.96,1.5,-0.73
94,10/15/2012,62153,89738.49,149662,58833.33,14061.46,174227.72,143418.93,80354.47,5880.02,0.919,-30,0.5,0.146666667,75.9,17.1,96,33.12440109,1.727100015,1,0,0,0,13,24,37.25,59.5,-1.39,1.16,-0.5,-0.96,1.5,-0.73
95,10/22/2012,65354,165533.79,450428,0,14061.46,49779.35,175237.55,536668.4,5819.46,0.919,-30,0.5,0.146666667,90.5,19.7,96.1038961,33.12440109,1.727100015,1,0,0,0,13,24,37.25,59.5,-1.39,1.16,-0.5,-0.96,1.5,-0.73
96,10/29/2012,68563,140559.89,192490,0,14061.46,0,159371.44,130852.2,5831.62,0.895,-26.5714286,0.3714286,0.145034014,65.5,17.9,94.73684211,33.54761505,1.976528542,1,0,0,0,13,24,37.25,59.5,-1.39,1.16,-0.5,-0.96,1.5,-0.73
97,11/5/2012,62306,240693.56,44191,671767.33,14061.46,0,143193.26,120058.8,5812.26,0.863,-22,0.2,0.142857143,75,22.4,94.4,34.11190033,2.309099913,1,0,0,0,13,24,37.25,59.5,-1.39,1.16,-0.5,-0.96,1.5,-0.73
98,11/12/2012,68014,147239.85,774687,671767.33,14061.46,0,118314.29,120120,5711.8,0.863,-22,0.2,0.142857143,76.5,19.8,93.44262295,34.11190033,2.309099913,1,0,0,0,13,24,37.25,59.5,-1.39,1.16,-0.5,-0.96,1.5,-0.73
99,11/19/2012,63899,96992.3,477805,671767.33,14061.46,276850.49,143067.25,637601.5,5769.58,0.863,-22,0.2,0.142857143,70.8,23,94.01709402,34.11190033,2.309099913,1,0,0,0,13,24,37.25,59.5,-1.39,1.16,-0.5,-0.96,1.5,-0.73
100,11/26/2012,68425,94943.31,117430,0,14061.46,968976.71,114418.44,702877.3,5825.36,0.8608571,-23,0.2428571,0.141510263,87.5,26,92.62295082,33.91198621,2.306771347,1,0,0,0,13,24,37.25,59.5,-1.39,1.16,-0.5,-0.96,1.5,-0.73
101,12/3/2012,67471,89210.03,3600,221212.83,43479.76,968976.71,114160.47,122713.4,5889.62,0.848,-29,0.5,0.133428981,92,19.2,96.66666667,32.71250153,2.29279995,1,0,0,0,13,24,37.25,59.5,-1.39,1.16,-0.5,-0.96,1.5,-0.73
